"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -6.25624176415E-002, +0.00000000000E+000
+4.27985000000E+007, -8.59020470266E-001, +0.00000000000E+000
+8.52970000000E+007, -1.23642641196E+000, +0.00000000000E+000
+1.27795500000E+008, -1.52269569319E+000, +0.00000000000E+000
+1.70294000000E+008, -1.75176785335E+000, +0.00000000000E+000
+2.12792500000E+008, -1.96667458191E+000, +0.00000000000E+000
+2.55291000000E+008, -2.16477870180E+000, +0.00000000000E+000
+2.97789500000E+008, -2.35500007181E+000, +0.00000000000E+000
+3.40288000000E+008, -2.50770628854E+000, +0.00000000000E+000
+3.82786500000E+008, -2.68311876036E+000, +0.00000000000E+000
+4.25285000000E+008, -2.82603054217E+000, +0.00000000000E+000
+4.67783500000E+008, -2.99372239885E+000, +0.00000000000E+000
+5.10282000000E+008, -3.14379265669E+000, +0.00000000000E+000
+5.52780500000E+008, -3.28563402780E+000, +0.00000000000E+000
+5.95279000000E+008, -3.41092828921E+000, +0.00000000000E+000
+6.37777500000E+008, -3.55271488459E+000, +0.00000000000E+000
+6.80276000000E+008, -3.69308189809E+000, +0.00000000000E+000
+7.22774500000E+008, -3.84073888922E+000, +0.00000000000E+000
+7.65273000000E+008, -3.90390494548E+000, +0.00000000000E+000
+8.07771500000E+008, -4.03776490884E+000, +0.00000000000E+000
+8.50270000000E+008, -4.15180335379E+000, +0.00000000000E+000
+8.92768500000E+008, -4.26870624546E+000, +0.00000000000E+000
+9.35267000000E+008, -4.35172647963E+000, +0.00000000000E+000
+9.77765500000E+008, -4.48432976772E+000, +0.00000000000E+000
+1.02026400000E+009, -4.64646943492E+000, +0.00000000000E+000
+1.06276250000E+009, -4.68138445904E+000, +0.00000000000E+000
+1.10526100000E+009, -4.77841066260E+000, +0.00000000000E+000
+1.14775950000E+009, -4.84928785169E+000, +0.00000000000E+000
+1.19025800000E+009, -5.02342946649E+000, +0.00000000000E+000
+1.23275650000E+009, -5.07464608915E+000, +0.00000000000E+000
+1.27525500000E+009, -5.15283857093E+000, +0.00000000000E+000
+1.31775350000E+009, -5.26652016420E+000, +0.00000000000E+000
+1.36025200000E+009, -5.39444576236E+000, +0.00000000000E+000
+1.40275050000E+009, -5.46717768377E+000, +0.00000000000E+000
+1.44524900000E+009, -5.53706388730E+000, +0.00000000000E+000
+1.48774750000E+009, -5.61801220215E+000, +0.00000000000E+000
+1.53024600000E+009, -5.71568789877E+000, +0.00000000000E+000
+1.57274450000E+009, -5.78874215057E+000, +0.00000000000E+000
+1.61524300000E+009, -5.87168400034E+000, +0.00000000000E+000
+1.65774150000E+009, -5.95575107768E+000, +0.00000000000E+000
+1.70024000000E+009, -6.03500335615E+000, +0.00000000000E+000
+1.74273850000E+009, -6.13726475786E+000, +0.00000000000E+000
+1.78523700000E+009, -6.24382381698E+000, +0.00000000000E+000
+1.82773550000E+009, -6.30657051937E+000, +0.00000000000E+000
+1.87023400000E+009, -6.37857257389E+000, +0.00000000000E+000
+1.91273250000E+009, -6.54220459051E+000, +0.00000000000E+000
+1.95523100000E+009, -6.57741917959E+000, +0.00000000000E+000
+1.99772950000E+009, -6.60496521783E+000, +0.00000000000E+000
+2.04022800000E+009, -6.74131025812E+000, +0.00000000000E+000
+2.08272650000E+009, -6.83623750735E+000, +0.00000000000E+000
+2.12522500000E+009, -6.87057772930E+000, +0.00000000000E+000
+2.16772350000E+009, -6.93308916710E+000, +0.00000000000E+000
+2.21022200000E+009, -7.05502258316E+000, +0.00000000000E+000
+2.25272050000E+009, -7.10503685599E+000, +0.00000000000E+000
+2.29521900000E+009, -7.18225454817E+000, +0.00000000000E+000
