"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -2.00239761780E+001, +0.00000000000E+000
+4.27985000000E+007, -2.08746251677E+001, +0.00000000000E+000
+8.52970000000E+007, -2.12319953176E+001, +0.00000000000E+000
+1.27795500000E+008, -2.15502230918E+001, +0.00000000000E+000
+1.70294000000E+008, -2.17942705641E+001, +0.00000000000E+000
+2.12792500000E+008, -2.20450107135E+001, +0.00000000000E+000
+2.55291000000E+008, -2.22469105912E+001, +0.00000000000E+000
+2.97789500000E+008, -2.24315509373E+001, +0.00000000000E+000
+3.40288000000E+008, -2.26002388472E+001, +0.00000000000E+000
+3.82786500000E+008, -2.27634923382E+001, +0.00000000000E+000
+4.25285000000E+008, -2.29236469812E+001, +0.00000000000E+000
+4.67783500000E+008, -2.30907487823E+001, +0.00000000000E+000
+5.10282000000E+008, -2.32745755054E+001, +0.00000000000E+000
+5.52780500000E+008, -2.33915860054E+001, +0.00000000000E+000
+5.95279000000E+008, -2.35148568971E+001, +0.00000000000E+000
+6.37777500000E+008, -2.36912195684E+001, +0.00000000000E+000
+6.80276000000E+008, -2.38138918950E+001, +0.00000000000E+000
+7.22774500000E+008, -2.39476690064E+001, +0.00000000000E+000
+7.65273000000E+008, -2.40399401908E+001, +0.00000000000E+000
+8.07771500000E+008, -2.42142407407E+001, +0.00000000000E+000
+8.50270000000E+008, -2.43072029557E+001, +0.00000000000E+000
+8.92768500000E+008, -2.43942414216E+001, +0.00000000000E+000
+9.35267000000E+008, -2.45118913657E+001, +0.00000000000E+000
+9.77765500000E+008, -2.46325529566E+001, +0.00000000000E+000
+1.02026400000E+009, -2.47656458694E+001, +0.00000000000E+000
+1.06276250000E+009, -2.48467203633E+001, +0.00000000000E+000
+1.10526100000E+009, -2.49363878336E+001, +0.00000000000E+000
+1.14775950000E+009, -2.50481813576E+001, +0.00000000000E+000
+1.19025800000E+009, -2.51796396013E+001, +0.00000000000E+000
+1.23275650000E+009, -2.52655792067E+001, +0.00000000000E+000
+1.27525500000E+009, -2.53714064838E+001, +0.00000000000E+000
+1.31775350000E+009, -2.54630488672E+001, +0.00000000000E+000
+1.36025200000E+009, -2.56325319166E+001, +0.00000000000E+000
+1.40275050000E+009, -2.57051301989E+001, +0.00000000000E+000
