"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +5.19926888084E-002, +0.00000000000E+000
+4.27985000000E+007, -1.54076782094E-001, +0.00000000000E+000
+8.52970000000E+007, -2.28688825962E-001, +0.00000000000E+000
+1.27795500000E+008, -2.84198276343E-001, +0.00000000000E+000
+1.70294000000E+008, -3.09676702175E-001, +0.00000000000E+000
+2.12792500000E+008, -3.74154319965E-001, +0.00000000000E+000
+2.55291000000E+008, -3.96777045473E-001, +0.00000000000E+000
+2.97789500000E+008, -4.36272812310E-001, +0.00000000000E+000
+3.40288000000E+008, -4.41461370337E-001, +0.00000000000E+000
+3.82786500000E+008, -5.04268045957E-001, +0.00000000000E+000
+4.25285000000E+008, -5.04399981430E-001, +0.00000000000E+000
+4.67783500000E+008, -5.52420980886E-001, +0.00000000000E+000
+5.10282000000E+008, -5.75908093677E-001, +0.00000000000E+000
+5.52780500000E+008, -5.95189495789E-001, +0.00000000000E+000
+5.95279000000E+008, -6.23099369169E-001, +0.00000000000E+000
+6.37777500000E+008, -6.50239212924E-001, +0.00000000000E+000
+6.80276000000E+008, -6.53582112275E-001, +0.00000000000E+000
+7.22774500000E+008, -7.52204890431E-001, +0.00000000000E+000
+7.65273000000E+008, -7.09130100408E-001, +0.00000000000E+000
+8.07771500000E+008, -7.46349851981E-001, +0.00000000000E+000
+8.50270000000E+008, -7.99696921982E-001, +0.00000000000E+000
+8.92768500000E+008, -8.46956703231E-001, +0.00000000000E+000
+9.35267000000E+008, -8.07120154299E-001, +0.00000000000E+000
+9.77765500000E+008, -8.66551464769E-001, +0.00000000000E+000
+1.02026400000E+009, -9.65776631441E-001, +0.00000000000E+000
+1.06276250000E+009, -8.78394940707E-001, +0.00000000000E+000
+1.10526100000E+009, -8.95809973646E-001, +0.00000000000E+000
+1.14775950000E+009, -9.30527843652E-001, +0.00000000000E+000
+1.19025800000E+009, -9.71308880045E-001, +0.00000000000E+000
+1.23275650000E+009, -9.26388661011E-001, +0.00000000000E+000
+1.27525500000E+009, -9.79371579475E-001, +0.00000000000E+000
+1.31775350000E+009, -9.95519411366E-001, +0.00000000000E+000
+1.36025200000E+009, -1.00700891985E+000, +0.00000000000E+000
+1.40275050000E+009, -1.05383654972E+000, +0.00000000000E+000
+1.44524900000E+009, -1.04596961666E+000, +0.00000000000E+000
+1.48774750000E+009, -1.07131949617E+000, +0.00000000000E+000
+1.53024600000E+009, -1.10683799624E+000, +0.00000000000E+000
+1.57274450000E+009, -1.07546334481E+000, +0.00000000000E+000
+1.61524300000E+009, -1.14449334777E+000, +0.00000000000E+000
+1.65774150000E+009, -1.12059847797E+000, +0.00000000000E+000
+1.70024000000E+009, -1.15053238522E+000, +0.00000000000E+000
+1.74273850000E+009, -1.18431567407E+000, +0.00000000000E+000
+1.78523700000E+009, -1.24938780208E+000, +0.00000000000E+000
+1.82773550000E+009, -1.21439143660E+000, +0.00000000000E+000
+1.87023400000E+009, -1.21757724795E+000, +0.00000000000E+000
+1.91273250000E+009, -1.35353990395E+000, +0.00000000000E+000
+1.95523100000E+009, -1.26024010166E+000, +0.00000000000E+000
+1.99772950000E+009, -1.27045792513E+000, +0.00000000000E+000
+2.04022800000E+009, -1.36711364654E+000, +0.00000000000E+000
+2.08272650000E+009, -1.35674108853E+000, +0.00000000000E+000
+2.12522500000E+009, -1.33261182067E+000, +0.00000000000E+000
+2.16772350000E+009, -1.37121003113E+000, +0.00000000000E+000
+2.21022200000E+009, -1.45683292112E+000, +0.00000000000E+000
+2.25272050000E+009, -1.39154667584E+000, +0.00000000000E+000
+2.29521900000E+009, -1.41263919692E+000, +0.00000000000E+000
+2.33771750000E+009, -1.48337911244E+000, +0.00000000000E+000
+2.38021600000E+009, -1.46323426968E+000, +0.00000000000E+000
+2.42271450000E+009, -1.46320240692E+000, +0.00000000000E+000
+2.46521300000E+009, -1.49936837214E+000, +0.00000000000E+000
+2.50771150000E+009, -1.57059423119E+000, +0.00000000000E+000
+2.55021000000E+009, -1.56570849293E+000, +0.00000000000E+000
+2.59270850000E+009, -1.59692979854E+000, +0.00000000000E+000
+2.63520700000E+009, -1.66268322452E+000, +0.00000000000E+000
+2.67770550000E+009, -1.68632252020E+000, +0.00000000000E+000
+2.72020400000E+009, -1.67979525286E+000, +0.00000000000E+000
+2.76270250000E+009, -1.69565729275E+000, +0.00000000000E+000
+2.80520100000E+009, -1.77800915524E+000, +0.00000000000E+000
+2.84769950000E+009, -1.74656344624E+000, +0.00000000000E+000
+2.89019800000E+009, -1.75723496477E+000, +0.00000000000E+000
+2.93269650000E+009, -1.81195529725E+000, +0.00000000000E+000
+2.97519500000E+009, -1.84320395493E+000, +0.00000000000E+000
+3.01769350000E+009, -1.85806703451E+000, +0.00000000000E+000
+3.06019200000E+009, -1.89905512204E+000, +0.00000000000E+000
+3.10269050000E+009, -1.96382914437E+000, +0.00000000000E+000
+3.14518900000E+009, -2.03611763345E+000, +0.00000000000E+000
+3.18768750000E+009, -2.08322942257E+000, +0.00000000000E+000
+3.23018600000E+009, -2.26699553559E+000, +0.00000000000E+000
+3.27268450000E+009, -2.25178649368E+000, +0.00000000000E+000
+3.31518300000E+009, -2.30701589653E+000, +0.00000000000E+000
+3.35768150000E+009, -2.45113651625E+000, +0.00000000000E+000
+3.40018000000E+009, -2.43701511741E+000, +0.00000000000E+000
+3.44267850000E+009, -2.48863911707E+000, +0.00000000000E+000
+3.48517700000E+009, -2.61668935529E+000, +0.00000000000E+000
+3.52767550000E+009, -2.67233675719E+000, +0.00000000000E+000
+3.57017400000E+009, -2.61608144058E+000, +0.00000000000E+000
+3.61267250000E+009, -2.71668334405E+000, +0.00000000000E+000
+3.65517100000E+009, -2.81379930676E+000, +0.00000000000E+000
+3.69766950000E+009, -2.79497113420E+000, +0.00000000000E+000
+3.74016800000E+009, -2.80073305858E+000, +0.00000000000E+000
+3.78266650000E+009, -2.84661168060E+000, +0.00000000000E+000
+3.82516500000E+009, -2.94401507560E+000, +0.00000000000E+000
+3.86766350000E+009, -2.83370282681E+000, +0.00000000000E+000
+3.91016200000E+009, -2.80117081036E+000, +0.00000000000E+000
+3.95266050000E+009, -2.86883098877E+000, +0.00000000000E+000
+3.99515900000E+009, -2.76478213556E+000, +0.00000000000E+000
+4.03765750000E+009, -2.77604506133E+000, +0.00000000000E+000
+4.08015600000E+009, -2.79022872825E+000, +0.00000000000E+000
+4.12265450000E+009, -2.65695825786E+000, +0.00000000000E+000
+4.16515300000E+009, -2.70221804713E+000, +0.00000000000E+000
+4.20765150000E+009, -2.72457097406E+000, +0.00000000000E+000
+4.25015000000E+009, -2.66730758593E+000, +0.00000000000E+000
+4.29264850000E+009, -2.52486455064E+000, +0.00000000000E+000
+4.33514700000E+009, -2.75782264147E+000, +0.00000000000E+000
+4.37764550000E+009, -2.61692983010E+000, +0.00000000000E+000
+4.42014400000E+009, -2.40361334911E+000, +0.00000000000E+000
+4.46264250000E+009, -2.61880393305E+000, +0.00000000000E+000
+4.50514100000E+009, -2.58133727406E+000, +0.00000000000E+000
+4.54763950000E+009, -2.38066561799E+000, +0.00000000000E+000
+4.59013800000E+009, -2.37030467505E+000, +0.00000000000E+000
+4.63263650000E+009, -2.39177035292E+000, +0.00000000000E+000
+4.67513500000E+009, -2.32279195651E+000, +0.00000000000E+000
+4.71763350000E+009, -2.33165164561E+000, +0.00000000000E+000
+4.76013200000E+009, -2.27322762362E+000, +0.00000000000E+000
+4.80263050000E+009, -2.32482766527E+000, +0.00000000000E+000
+4.84512900000E+009, -2.32195070633E+000, +0.00000000000E+000
+4.88762750000E+009, -2.27299929245E+000, +0.00000000000E+000
+4.93012600000E+009, -2.42797620501E+000, +0.00000000000E+000
+4.97262450000E+009, -2.36092836334E+000, +0.00000000000E+000
+5.01512300000E+009, -2.31004419835E+000, +0.00000000000E+000
+5.05762150000E+009, -2.59196441862E+000, +0.00000000000E+000
+5.10012000000E+009, -2.47903557533E+000, +0.00000000000E+000
+5.14261850000E+009, -2.35059970735E+000, +0.00000000000E+000
+5.18511700000E+009, -2.44646508633E+000, +0.00000000000E+000
+5.22761550000E+009, -2.47461484991E+000, +0.00000000000E+000
+5.27011400000E+009, -2.43266088273E+000, +0.00000000000E+000
+5.31261250000E+009, -2.33057470508E+000, +0.00000000000E+000
+5.35511100000E+009, -2.46213263081E+000, +0.00000000000E+000
+5.39760950000E+009, -2.50586211506E+000, +0.00000000000E+000
+5.44010800000E+009, -2.35580347670E+000, +0.00000000000E+000
+5.48260650000E+009, -2.41721743796E+000, +0.00000000000E+000
