"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +6.56027633860E-002, +0.00000000000E+000
+4.27985000000E+007, -1.39231362792E-001, +0.00000000000E+000
+8.52970000000E+007, -2.14985107101E-001, +0.00000000000E+000
+1.27795500000E+008, -2.88087300787E-001, +0.00000000000E+000
+1.70294000000E+008, -3.13880643695E-001, +0.00000000000E+000
+2.12792500000E+008, -3.53209943516E-001, +0.00000000000E+000
+2.55291000000E+008, -3.77399990921E-001, +0.00000000000E+000
+2.97789500000E+008, -4.07008243450E-001, +0.00000000000E+000
+3.40288000000E+008, -4.56168038787E-001, +0.00000000000E+000
+3.82786500000E+008, -5.01525856107E-001, +0.00000000000E+000
+4.25285000000E+008, -5.19454539515E-001, +0.00000000000E+000
+4.67783500000E+008, -5.41215256388E-001, +0.00000000000E+000
+5.10282000000E+008, -6.07018804393E-001, +0.00000000000E+000
+5.52780500000E+008, -5.92707932102E-001, +0.00000000000E+000
+5.95279000000E+008, -6.36640019380E-001, +0.00000000000E+000
+6.37777500000E+008, -6.80629745332E-001, +0.00000000000E+000
+6.80276000000E+008, -6.87160643566E-001, +0.00000000000E+000
+7.22774500000E+008, -7.19694795180E-001, +0.00000000000E+000
+7.65273000000E+008, -7.30728380533E-001, +0.00000000000E+000
+8.07771500000E+008, -7.66615411684E-001, +0.00000000000E+000
+8.50270000000E+008, -8.11219350340E-001, +0.00000000000E+000
+8.92768500000E+008, -8.28557087978E-001, +0.00000000000E+000
+9.35267000000E+008, -8.15031817084E-001, +0.00000000000E+000
+9.77765500000E+008, -8.51194870929E-001, +0.00000000000E+000
+1.02026400000E+009, -9.21646388808E-001, +0.00000000000E+000
+1.06276250000E+009, -8.79679128685E-001, +0.00000000000E+000
+1.10526100000E+009, -8.88491383428E-001, +0.00000000000E+000
+1.14775950000E+009, -9.12629173667E-001, +0.00000000000E+000
+1.19025800000E+009, -9.43634617816E-001, +0.00000000000E+000
+1.23275650000E+009, -9.49195461922E-001, +0.00000000000E+000
+1.27525500000E+009, -1.01498435346E+000, +0.00000000000E+000
+1.31775350000E+009, -9.98274369456E-001, +0.00000000000E+000
+1.36025200000E+009, -1.02619470201E+000, +0.00000000000E+000
+1.40275050000E+009, -1.11170468952E+000, +0.00000000000E+000
+1.44524900000E+009, -1.05175904814E+000, +0.00000000000E+000
+1.48774750000E+009, -1.06181882232E+000, +0.00000000000E+000
+1.53024600000E+009, -1.14018425659E+000, +0.00000000000E+000
+1.57274450000E+009, -1.10806590144E+000, +0.00000000000E+000
+1.61524300000E+009, -1.12103681425E+000, +0.00000000000E+000
+1.65774150000E+009, -1.14101773505E+000, +0.00000000000E+000
+1.70024000000E+009, -1.16821631279E+000, +0.00000000000E+000
+1.74273850000E+009, -1.16432716549E+000, +0.00000000000E+000
+1.78523700000E+009, -1.22490607343E+000, +0.00000000000E+000
+1.82773550000E+009, -1.20530398826E+000, +0.00000000000E+000
+1.87023400000E+009, -1.21376764105E+000, +0.00000000000E+000
+1.91273250000E+009, -1.28278367358E+000, +0.00000000000E+000
+1.95523100000E+009, -1.25045254102E+000, +0.00000000000E+000
+1.99772950000E+009, -1.26404859338E+000, +0.00000000000E+000
+2.04022800000E+009, -1.29721879423E+000, +0.00000000000E+000
+2.08272650000E+009, -1.29855982527E+000, +0.00000000000E+000
+2.12522500000E+009, -1.33031975644E+000, +0.00000000000E+000
+2.16772350000E+009, -1.33859433163E+000, +0.00000000000E+000
+2.21022200000E+009, -1.36002645422E+000, +0.00000000000E+000
