"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +5.13971580163E-002, +0.00000000000E+000
+4.27985000000E+007, -1.03747949422E-001, +0.00000000000E+000
+8.52970000000E+007, -1.47710750924E-001, +0.00000000000E+000
+1.27795500000E+008, -2.01416066859E-001, +0.00000000000E+000
+1.70294000000E+008, -2.30286484155E-001, +0.00000000000E+000
+2.12792500000E+008, -2.59419410205E-001, +0.00000000000E+000
+2.55291000000E+008, -2.83907260529E-001, +0.00000000000E+000
+2.97789500000E+008, -2.99366139472E-001, +0.00000000000E+000
+3.40288000000E+008, -3.27577979894E-001, +0.00000000000E+000
+3.82786500000E+008, -3.57136492881E-001, +0.00000000000E+000
+4.25285000000E+008, -3.63057697772E-001, +0.00000000000E+000
+4.67783500000E+008, -3.65040285630E-001, +0.00000000000E+000
+5.10282000000E+008, -4.35824873735E-001, +0.00000000000E+000
+5.52780500000E+008, -4.19260425073E-001, +0.00000000000E+000
+5.95279000000E+008, -4.44444973515E-001, +0.00000000000E+000
+6.37777500000E+008, -4.84071612597E-001, +0.00000000000E+000
+6.80276000000E+008, -5.01594684979E-001, +0.00000000000E+000
+7.22774500000E+008, -5.40474736892E-001, +0.00000000000E+000
+7.65273000000E+008, -5.31492138514E-001, +0.00000000000E+000
+8.07771500000E+008, -5.45731736048E-001, +0.00000000000E+000
+8.50270000000E+008, -5.74496779219E-001, +0.00000000000E+000
+8.92768500000E+008, -5.52460868950E-001, +0.00000000000E+000
+9.35267000000E+008, -5.91251232523E-001, +0.00000000000E+000
+9.77765500000E+008, -6.01820635232E-001, +0.00000000000E+000
+1.02026400000E+009, -6.35858535833E-001, +0.00000000000E+000
+1.06276250000E+009, -6.34573586254E-001, +0.00000000000E+000
+1.10526100000E+009, -6.46178895982E-001, +0.00000000000E+000
+1.14775950000E+009, -6.56858527986E-001, +0.00000000000E+000
+1.19025800000E+009, -6.91323963910E-001, +0.00000000000E+000
+1.23275650000E+009, -7.10366878827E-001, +0.00000000000E+000
